"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-04",,,"0.85",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-05",,,"0.67",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-06",,,"0.11",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-09",,,"0.45",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-10",,,"0.15",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-11",,,"0.25","1.5"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-13",,,"0.03",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-14",,,"0.63",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-15",,,"0.67",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-16",,,"0.52",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-17",,,"0.34","1.0"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-18",,,"0.33","4.5"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-21",,,"0.02","0.5"
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-27",,,"0.02",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-02-28",,,"0.17",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-01",,,"0.04",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-02",,,"0.53",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-03",,,"1.20",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-06",,,"0.92",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-07",,,"0.25",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-08",,,"0.49",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-09",,,"0.02",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-19","   10","0.06",,
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-20",,,"0.35",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-21",,,"0.69",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-22",,,"0.17",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-03-28",,,"0.20",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-04-02",,,"0.00",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-04-03",,,"0.12",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-04-05",,,"0.02",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-04-16",,,"0.37",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-04-17",,,"0.04",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-04-21",,,"0.00",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-05-10",,,"0.35",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-05-16",,,"0.69",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-05-17",,,"0.38",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-05-19",,,"0.98",
"US1CAFR0022","SQUAW VALLEY 3.1 ESE, CA US","2019-05-20",,,"0.23",
