"STATION","NAME","DATE","PRCP","SNWD"
"USS0011J42S","SNOWBIRD, UT US","2018-03-25","0.20","68.0"
"USS0011J42S","SNOWBIRD, UT US","2018-03-26","0.20","67.0"
"USS0011J42S","SNOWBIRD, UT US","2018-03-27","0.10","69.0"
"USS0011J42S","SNOWBIRD, UT US","2018-03-28","0.10","70.0"
"USS0011J42S","SNOWBIRD, UT US","2018-03-29","0.00","68.0"
"USS0011J42S","SNOWBIRD, UT US","2018-03-30","0.00","67.0"
"USS0011J42S","SNOWBIRD, UT US","2018-03-31","0.00","65.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-01","0.00","64.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-02","0.40","65.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-03","0.00","65.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-04","0.00","64.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-05","0.00","63.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-06","0.70","66.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-07","0.70","64.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-08","0.40","66.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-09","0.00","66.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-10","0.00","63.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-11","0.00","61.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-12","1.00","67.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-13","0.90","78.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-14","0.00","70.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-15","0.00","68.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-16","0.00","67.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-17","0.90","77.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-18","0.00","72.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-19","0.00","70.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-20","0.00","70.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-21","0.00","67.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-22","0.00","64.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-23","0.00","62.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-24","0.00","60.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-25","0.00","58.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-26","0.00","55.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-27","0.00","53.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-28","0.00","50.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-29","0.00","48.0"
"USS0011J42S","SNOWBIRD, UT US","2018-04-30","0.60","55.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-01","0.00","52.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-02","0.60","58.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-03","0.00","54.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-04","0.00","50.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-05","0.00","48.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-06","0.00","44.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-07","0.00","41.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-08","0.00","37.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-09","0.00","35.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-10","0.00","33.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-11","0.70","35.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-12","0.10","36.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-13","0.10","32.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-14","0.60","33.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-15","0.00","31.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-16","0.00","27.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-17","0.00","24.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-18","0.10","23.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-19","0.00","21.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-20","0.00","19.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-21","0.10","17.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-22","0.20","15.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-23","0.00","12.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-24","0.00","8.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-25","0.00","3.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-26","0.00","1.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-27","0.10","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-28","0.30","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-29","0.10","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-30","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-05-31","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-01","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-02","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-03","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-04","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-05","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-06","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-07","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-08","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-09","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-10","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-11","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-12","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-13","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-14","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-15","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-16","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-17","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-18","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-19","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-20","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-21","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-22","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-23","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-24","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-25","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-26","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-27","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-28","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-29","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-06-30","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-01","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-02","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-03","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-04","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-05","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-06","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-07","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-08","0.50","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-09","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-10","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-11","0.10","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-12","0.10","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-13","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-14","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-15","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-16","0.30","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-17","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-18","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-19","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-20","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-21","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-22","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-23","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-24","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-25","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-26","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-27","0.30","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-28","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-29","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-30","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-07-31","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-01","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-02","0.20","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-03","0.20","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-04","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-05","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-06","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-07","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-08","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-09","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-10","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-11","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-12","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-13","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-14","0.10","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-15","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-16","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-17","0.20","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-18","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-19","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-20","0.20","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-21","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-22","1.20","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-23","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-24","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-25","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-26","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-27","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-28","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-29","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-30","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-08-31","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-01","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-02","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-03","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-04","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-05","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-06","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-07","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-08","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-09","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-10","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-11","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-12","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-13","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-14","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-15","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-16","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-17","0.00","0.0"
"USS0011J42S","SNOWBIRD, UT US","2018-09-18","0.00","0.0"
