STATION,NAME,DATE,PRCP,SNWD,lat,long,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/5/2018,0,70,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/6/2018,0,67,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/7/2018,0,64,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/8/2018,0,62,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/9/2018,0,61,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/10/2018,0,60,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/11/2018,0,58,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/12/2018,0,57,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/13/2018,0,56,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/14/2018,1.8,65,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/15/2018,0.8,71,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/16/2018,0.2,71,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/17/2018,1.3,80,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/18/2018,0.2,78,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/19/2018,0,75,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/20/2018,0,72,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/21/2018,0,69,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/22/2018,2,76,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/23/2018,0.2,72,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/24/2018,0,69,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/25/2018,0.2,68,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/26/2018,0.2,67,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/27/2018,0.1,69,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/28/2018,0.1,70,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/29/2018,0,68,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/30/2018,0,67,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",3/31/2018,0,65,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/1/2018,0,64,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/2/2018,0.4,65,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/3/2018,0,65,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/4/2018,0,64,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/5/2018,0,63,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/6/2018,0.7,66,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/7/2018,0.7,64,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/8/2018,0.4,66,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/9/2018,0,66,40.580755,-111.657296,,,,,
USS0011J42S,"SNOWBIRD, UT US",4/10/2018,0,63,40.580755,-111.657296,,,,,
